epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8698,1.08413,3.32757,0.00354,0.68407,0.77966,0.76194,0.55839,0.95478,2.49244,0.00385,0.000533333,0.000533333,0.000533333
2,49.8293,1.13351,3.34428,0.00421,0.44464,0.57627,0.46669,0.35155,1.14583,2.88154,0.00443,0.00117624,0.00117624,0.00117624
3,74.6218,1.35868,3.15475,0.00471,0.44464,0.57627,0.46669,0.35155,1.14583,2.88154,0.00443,0.00179275,0.00179275,0.00179275
4,100.177,1.85684,2.92023,0.0071,0.19165,0.25424,0.13169,0.05829,1.96964,3.82193,0.00917,0.0018812,0.0018812,0.0018812
5,125.496,1.84196,2.84172,0.00746,0.76614,0.61017,0.65884,0.38343,1.4904,2.56818,0.00679,0.0018416,0.0018416,0.0018416
6,149.99,1.56557,1.87968,0.00577,0.76614,0.61017,0.65884,0.38343,1.4904,2.56818,0.00679,0.001802,0.001802,0.001802
7,172.541,1.57814,2.03428,0.00606,0.47192,0.35593,0.38444,0.2411,1.3742,3.01784,0.00596,0.0017624,0.0017624,0.0017624
8,195.257,1.6545,2.09744,0.00625,0.5065,0.52542,0.51775,0.33321,1.44855,2.40961,0.00643,0.0017228,0.0017228,0.0017228
9,220.606,1.22338,1.2645,0.00444,0.5065,0.52542,0.51775,0.33321,1.44855,2.40961,0.00643,0.0016832,0.0016832,0.0016832
10,246.057,1.21994,1.33966,0.00395,0.86455,0.66102,0.77193,0.48313,1.35898,1.68237,0.00548,0.0016436,0.0016436,0.0016436
11,269.145,1.21797,1.50242,0.00422,0.86455,0.66102,0.77193,0.48313,1.35898,1.68237,0.00548,0.001604,0.001604,0.001604
12,293.41,1.20444,1.4024,0.00463,0.9432,0.47458,0.70595,0.46457,1.3276,1.52073,0.00575,0.0015644,0.0015644,0.0015644
13,318.689,1.22303,1.23456,0.00457,0.69119,0.60704,0.67842,0.458,1.28797,1.42325,0.00515,0.0015248,0.0015248,0.0015248
14,343.254,1.20868,1.11516,0.0042,0.69119,0.60704,0.67842,0.458,1.28797,1.42325,0.00515,0.0014852,0.0014852,0.0014852
15,368.009,1.08466,0.88217,0.00364,0.48927,0.62712,0.53579,0.38395,1.13796,1.99574,0.00438,0.0014456,0.0014456,0.0014456
16,391.692,1.14695,0.88854,0.00375,0.46974,0.79661,0.6221,0.42932,1.12873,1.86516,0.00486,0.001406,0.001406,0.001406
17,415.938,1.23802,0.8614,0.00458,0.46974,0.79661,0.6221,0.42932,1.12873,1.86516,0.00486,0.0013664,0.0013664,0.0013664
18,440.249,1.14829,0.80995,0.00461,0.75559,0.67797,0.80132,0.56596,1.05794,1.28305,0.00446,0.0013268,0.0013268,0.0013268
19,463.91,1.05888,0.74898,0.00358,0.75559,0.67797,0.80132,0.56596,1.05794,1.28305,0.00446,0.0012872,0.0012872,0.0012872
20,488.196,1.06177,0.67098,0.00345,0.88142,0.91525,0.94023,0.63151,1.15181,0.76668,0.00476,0.0012476,0.0012476,0.0012476
21,512.234,0.98224,0.65191,0.00377,0.94321,0.84456,0.94248,0.64263,1.09639,0.67199,0.00443,0.001208,0.001208,0.001208
22,536.167,1.08343,0.73144,0.00386,0.94321,0.84456,0.94248,0.64263,1.09639,0.67199,0.00443,0.0011684,0.0011684,0.0011684
23,559.732,0.99025,0.5725,0.00375,0.90282,0.84746,0.92939,0.63923,1.07849,0.72819,0.00423,0.0011288,0.0011288,0.0011288
24,583.807,1.09432,0.60272,0.00369,0.71846,0.83051,0.77845,0.55928,0.95518,1.06473,0.00379,0.0010892,0.0010892,0.0010892
25,608.338,1.0212,0.54725,0.00342,0.71846,0.83051,0.77845,0.55928,0.95518,1.06473,0.00379,0.0010496,0.0010496,0.0010496
26,632.574,0.97867,0.54806,0.0032,0.59051,0.81356,0.61399,0.45803,0.93472,1.61213,0.00348,0.00101,0.00101,0.00101
27,656.462,0.956,0.46893,0.00297,0.59051,0.81356,0.61399,0.45803,0.93472,1.61213,0.00348,0.0009704,0.0009704,0.0009704
28,680.463,1.00324,0.52169,0.00349,0.77237,0.76271,0.76562,0.55523,0.96499,1.02391,0.00361,0.0009308,0.0009308,0.0009308
29,704.337,0.97284,0.50093,0.0032,0.82622,0.88647,0.92649,0.6845,0.96488,0.66122,0.00357,0.0008912,0.0008912,0.0008912
30,728.404,0.93394,0.56389,0.00351,0.82622,0.88647,0.92649,0.6845,0.96488,0.66122,0.00357,0.0008516,0.0008516,0.0008516
31,752.559,0.9495,0.52647,0.00354,0.91412,0.90211,0.96538,0.71983,0.91151,0.53717,0.00334,0.000812,0.000812,0.000812
32,776.585,0.89367,0.55439,0.00284,0.96328,0.9322,0.97766,0.73071,0.91202,0.48262,0.00339,0.0007724,0.0007724,0.0007724
33,800.465,1.03973,0.48966,0.00312,0.96328,0.9322,0.97766,0.73071,0.91202,0.48262,0.00339,0.0007328,0.0007328,0.0007328
34,824.79,0.93229,0.44182,0.00279,0.95241,0.88136,0.97001,0.72614,0.90913,0.5064,0.00336,0.0006932,0.0006932,0.0006932
35,848.999,0.86188,0.49771,0.00285,0.95241,0.88136,0.97001,0.72614,0.90913,0.5064,0.00336,0.0006536,0.0006536,0.0006536
36,873.112,0.95552,0.47908,0.00269,0.98637,0.86441,0.97037,0.7254,0.92805,0.47712,0.00342,0.000614,0.000614,0.000614
37,897.896,0.86155,0.41129,0.00311,0.91232,0.89831,0.96723,0.71214,0.93786,0.48464,0.00336,0.0005744,0.0005744,0.0005744
38,922.37,0.78049,0.38593,0.00263,0.91232,0.89831,0.96723,0.71214,0.93786,0.48464,0.00336,0.0005348,0.0005348,0.0005348
39,945.715,0.89936,0.48047,0.00263,0.88465,0.94915,0.96353,0.72488,0.92261,0.47416,0.00325,0.0004952,0.0004952,0.0004952
